building-tower-season,RMSE,MAE,MAE_SD,training_time
ESB1_summer,0.3269793224080027,0.1922897343122287,0.2644619733733551,23.92551612854004
ESB2_summer,0.2406800241009322,0.1534054807641289,0.1854552034124464,17.952686071395874
Kissam1_summer,0.4816936486463411,0.2553492346558149,0.4084428228123422,37.39428925514221
Kissam2_allyear,0.4981846694179362,0.2713157829509862,0.4178225828802835,
MRB1_summer,0.9146860776514042,0.4308587148517905,0.8068527675391431,
MRB2_summer,0.735344895540057,0.3728968721057039,0.633782327120756,
Kissam2_summer,0.4675619216967115,0.2318189498405165,0.4060469493981719,37.91605997085571
ESB1_fall,0.2798916249407128,0.1595210684928904,0.2299833698745175,22.139148950576782
ESB2_fall,0.3565720090207757,0.2338162283612112,0.2692091546958424,17.589169025421143
Kissam1_fall,0.5709272435562814,0.3228693793359327,0.4708643980192212,24.674304962158203
Kissam2_fall,0.5518448371852657,0.3093375113124725,0.45699346649929007,24.528872966766357
MRB1_fall,0.5323504537098018,0.2906422304220674,0.446009080020035,
MRB2_fall,0.6578005546797622,0.3541060813030793,0.5543558901294187,
